path,slug,title,artist,year,track_file,md_exists,bc_url,bc_type,folder_exists,n_files
2013 - alkalines-demos-acusticas-2013,alkalines-demos-acusticas-2013,demos-acusticas-2013,alkalines,2013,alkalines-demos-acusticas-2013.mp3,True,https://alkalines.bandcamp.com/**](https://alkalines.bandcamp.com,generic,True,2
2013 - amaduscias-war-and-conflicts-2013,amaduscias-war-and-conflicts-2013,war-and-conflicts-2013,amaduscias,2013,amaduscias-war-and-conflicts-2013.mp3,True,http://cianetodiscos.bandcamp.com/album/amaduscias-war-and-conflicts-cd**](http://cianetodiscos.bandcamp.com/album/amaduscias-war-and-conflicts-cd,album,True,2
2013 - amsteradio-cansei-de-menina-indie-2013,amsteradio-cansei-de-menina-indie-2013,cansei-de-menina-indie-2013,amsteradio,2013,amsteradio-cansei-de-menina-indie-2013.mp3,True,http://amsteradio.bandcamp.com/album/cansei-de-menina-indie**](http://amsteradio.bandcamp.com/album/cansei-de-menina-indie,album,True,2
2013 - amt-my-glitch-aches-2013,amt-my-glitch-aches-2013,my-glitch-aches-2013,amt,2013,amt-my-glitch-aches-2013.mp3,True,https://seeamtplay.bandcamp.com/**](https://seeamtplay.bandcamp.com,generic,True,2
2013 - anxtron-brainstorm-2013,anxtron-brainstorm-2013,brainstorm-2013,anxtron,2013,anxtron-brainstorm-2013.mp3,True,https://anxtron.bandcamp.com,generic,True,2
2013 - aos-maniacos-simeis-horizonte-1-2013,aos-maniacos-simeis-horizonte-1-2013,maniacos-simeis-horizonte-1-2013,aos,2013,aos-maniacos-simeis-horizonte-1-2013.mp3,True,https://aosmaniacos.bandcamp.com,generic,True,2
2013 - April Seven - Small collection of songs about love and destruction,april-seven-small-collection-of-songs,Small collection of songs about love and destruction,April Seven,2013,april-seven-small-collection-of-songs.mp3,True,,none,True,2
2013 - Astronautas Tropicais - Albatrozes ! Um Certo Capitão Rodrigo,01 Astronautas Tropicais - Albatrozes_!,Albatrozes ! Um Certo Capitão Rodrigo,Astronautas Tropicais,2013,01 Astronautas Tropicais - Albatrozes_!.mp3,False,,none,True,2
2013 - Banana,orgasmo-de-porco-e-violent-illusion,Banana,,2013,orgasmo-de-porco-e-violent-illusion.mp3,True,http://oxdxpx.bandcamp.com/album/banana**](http://oxdxpx.bandcamp.com/album/banana,album,True,2
2013 - barulhista-cafe-branco-2013,barulhista-cafe-branco-2013,cafe-branco-2013,barulhista,2013,barulhista-cafe-branco-2013.mp3,True,http://barulhista.bandcamp.com/album/caf-branco**](http://barulhista.bandcamp.com/album/caf-branco,album,True,2
2013 - bemonio-daemos-2013,bemonio-daemos-2013,daemos-2013,bemonio,2013,bemonio-daemos-2013.mp3,True,https://bemonio.bandcamp.com,generic,True,2
2013 - Beyond Frequency - Man alone with himself EP,beyond-frequency-man-alone-with-himself,Man alone with himself EP,Beyond Frequency,2013,beyond-frequency-man-alone-with-himself.mp3,True,https://beyondfrequency.bandcamp.com,generic,True,2
2013 - Bikinis Bikinis,bikinis-bikinis-2013,Bikinis Bikinis,,2013,bikinis-bikinis-2013.mp3,True,http://bikinis.bandcamp.com/album/bikinis,album,True,2
2013 - Bixiga 70 - Ao Vivo - Festival No Ar Coquetel Molotov,Bixiga 70 - Ao Vivo no Coquetel Molotov (2013),Ao Vivo - Festival No Ar Coquetel Molotov,Bixiga 70,2013,Bixiga 70 - Ao Vivo no Coquetel Molotov (2013).mp3,False,,none,True,2
2013 - boddah-swimmer-ep-2013,boddah-swimmer-ep-2013,swimmer-ep-2013,boddah,2013,boddah-swimmer-ep-2013.mp3,True,http://brunofleming.bandcamp.com/album/the-swimmer-ep**](http://brunofleming.bandcamp.com/album/the-swimmer-ep,album,True,2
2013 - Bruno Souto Estado De Nuvem,bruno-souto-estado-de-nuvem-2013,Bruno Souto Estado De Nuvem,,2013,bruno-souto-estado-de-nuvem-2013.mp3,True,http://brunosouto.bandcamp.com/album/estado-de-nuvem,album,True,2
2013 - Caim Celebracoes Insurgentes,caim-celebracoes-insurgentes-2013,Caim Celebracoes Insurgentes,,2013,caim-celebracoes-insurgentes-2013.mp3,True,http://caim.bandcamp.com/album/celebra-es-insurgentes,album,True,2
2013 - cama-desfeita-xxii-2013,cama-desfeita-xxii-2013,desfeita-xxii-2013,cama,2013,cama-desfeita-xxii-2013.mp3,True,http://meia-vida.bandcamp.com/album/xxii,album,True,2
2013 - camarilo-camarilo-ep-2013,camarilo-camarilo-ep-2013,camarilo-ep-2013,camarilo,2013,camarilo-camarilo-ep-2013.mp3,True,https://camarilo.bandcamp.com**](https://camarilo.bandcamp.com,generic,True,2
2013 - camarilo-souvenir-2013,camarilo-souvenir-2013,souvenir-2013,camarilo,2013,camarilo-souvenir-2013.mp3,True,https://camarilo.bandcamp.com/**](https://camarilo.bandcamp.com,generic,True,2
2013 - cambriana-worker-ep-2013,cambriana-worker-ep-2013,worker-ep-2013,cambriana,2013,cambriana-worker-ep-2013.mp3,True,https://cambrianamusic.bandcamp.com,generic,True,2
2013 - campo-minado-curto-e-grosso-2013,campo-minado-curto-e-grosso-2013,minado-curto-e-grosso-2013,campo,2013,campo-minado-curto-e-grosso-2013.mp3,True,https://campominadope.bandcamp.com,generic,True,2
"2013 - Cao Baleia O - O padeiro, o glutão, a moça e o amante (compacto)",cao-baleia-o-padeiro-o-glutao-moca-e-o,"O padeiro, o glutão, a moça e o amante (compacto)",Cao Baleia O,2013,cao-baleia-o-padeiro-o-glutao-moca-e-o.mp3,True,https://caobaleia.bandcamp.com,generic,True,2
2013 - Catarro Pena De Morte,catarro-pena-de-morte-2004,Catarro Pena De Morte,,2013,catarro-pena-de-morte-2004.mp3,True,https://catarro.bandcamp.com/**](https://catarro.bandcamp.com,generic,True,2
2013 - catarro-insonia-2013,catarro-insonia-2013,insonia-2013,catarro,2013,catarro-insonia-2013.mp3,True,http://catarro.bandcamp.com/album/ins-nia**](http://catarro.bandcamp.com/album/ins-nia,album,True,2
2013 - catholic-youth-demo-2013,catholic-youth-demo-2013,youth-demo-2013,catholic,2013,catholic-youth-demo-2013.mp3,True,http://catholicyouth.bandcamp.com/album/demo**](http://catholicyouth.bandcamp.com/album/demo,album,True,2
2013 - cellardoor-random-alarms-ep-2013,cellardoor-random-alarms-ep-2013,random-alarms-ep-2013,cellardoor,2013,cellardoor-random-alarms-ep-2013.mp3,True,,none,True,2
2013 - celula-soul-ep-celula-soul-2013,celula-soul-ep-celula-soul-2013,soul-ep-celula-soul-2013,celula,2013,celula-soul-ep-celula-soul-2013.mp3,True,https://celulasoul.bandcamp.com,generic,True,2
