album_path,year,missing_tracks,missing_nums,domain,download_url,post_url,match_type
2018 - Nelson da Rabeca e Thomas Rohrer - Tradição Improvisada,2018,7,"5,7,8,10,14,15,16",mega.nz,https://mega.nz/#!4gkVFI4C!yZay-tUXGdOj_nzdDwEuesyyBD1PvOi1rjTrGR_AU64,https://www.hominiscanidae.org/2019/01/nelson-da-rabeca-e-thomas-rohrer.html,exact
"2019 - DJ Caique, Edi Rock, Derek, Pedro Qualy, MC Guimê, Leal, Luccas Carlos, PK - Coligações Expressivas 5",2019,7,"8,13,14,17,24,28,29",mega.nz,https://mega.nz/#!kltWlQTR!0WLbEj5D6VN1ZBBud2vUagyHJL_ZeEglT0izlp7JX8Q,https://www.hominiscanidae.org/2019/12/dj-caique-coligacoes-expressivas-5-2019.html,exact
2020 - Karnak - Nikodemus,2020,7,"9,12,13,14,15,16,17",mega.nz,https://mega.nz/#!ksk3ASiI!fE3TlLedx2fgh_cP8TjN_OxkHcyyyAcSBjMVgH-XrTk,https://www.hominiscanidae.org/2020/02/karnak-nikodemus-2020.html,exact
"2021 - Umaduna, EdaLuiza - Hominis Canidae #130 - Março",2021,7,"7,8,9,10,12,14,16",mega.nz,https://mega.nz/file/yIlgmSIS#nQudXW3acbdh_nk9NJPq6-PIF9LBjCvF-Vrp3DkF3Mg,https://www.hominiscanidae.org/2021/03/umaduna-umaduna-2021.html,exact
2024 - Ricardo Augusto Luiz Meolida - O Ébano e o Marfim - Parceiros,2024,7,"3,8,10,11,12,14,15",mega.nz,https://mega.nz/file/hKJABYDB#H-rhYOiwxacrpSzhouRJhxFGqpBE4NBhM1YAyuj0Nsk,https://www.hominiscanidae.org/2024/03/ricardo-augusto-o-ebano-e-o-marfim.html,exact
2024 - outravida - Hoje Já É Amanhã,2024,7,"3,6,7,8,9,10,11",mega.nz,https://mega.nz/file/BHwnhaSC#sILaY4-k8s78fQUnm_ephqI_n5doHIEKLJfyfYnB94w,https://www.hominiscanidae.org/2024/02/outravida-hoje-ja-e-amanha-2024.html,exact
2026 - Artur Wais - Se Acostumar,2026,7,"4,5,6,7,11,12,13",mega.nz,https://mega.nz/file/OiQARIbI#U2AMs8-xLX1rwPUoMDu-wvogiyfxbRfxoPbHYn6A8Zw,https://www.hominiscanidae.org/2026/04/artur-wais-se-acostumar-2026.html,exact
2021 - Damião Experiença Eric Marke - #PartiuPlanetaLama,2021,7,"5,7,8,9,11,12,13",rapidshare.com,http://rapidshare.com/files/603917197/damiao%20experienca%20-%201974%20-%20planeta%20lamma.zip,https://www.hominiscanidae.org/2011/01/damiao-experienca-planeta-lamma-1974.html,exact
2021 - Evandro Negro Bento - O ANO QUE NÃO TEVE CARNAVAL,2021,6,"4,6,8,10,11,12",4shared.com,http://www.4shared.com/file/166193513/340134c4/Orquestra_Imperial_-_Carnaval_.html,https://www.hominiscanidae.org/2009/12/orquestra-imperial-carnaval-so-ano-que.html,exact
2024 - Alphayatch - Hominis Canidae #165 - Fevereiro,2024,6,"6,7,8,9,10,11",archive.org,https://archive.org/compress/alphayatch-meets-bernardo-pacheco-corte-costura-2024/formats=VBR%20MP3&file=/alphayatch-meets-bernardo-pacheco-corte-costura-2024.zip,https://www.hominiscanidae.org/2024/11/alphayatch-meets-bernardo-pacheco-corte.html,exact
2015 - Novampb - Hominis Canidae #64 - Setembro,2015,6,"5,6,11,13,14,16",bandcamp.com,https://bandcamp.com/download?id=3561237628&ts=1441123896.513426010&tsig=aa30a22a89f52163010a64c02353a119&type=album,https://www.hominiscanidae.org/2015/09/novampb-too-cool-for-words-2015.html,exact
2022 - Prefeitura Yannick Hara - Hominis Canidae #143 - Abril,2022,6,"3,6,8,9,12,14",bandcamp.com,https://bandcamp.com/download?id=1463926667&ts=1665196766.2782277585&tsig=84d25db7f8e88956cd9eb6296bd069ed&type=album,https://www.hominiscanidae.org/2022/10/prefeitura-do-rio-21-2022.html,exact
2013 - Tuca & Ana Mo - Curioso,2013,6,"7,8,9,10,13,16",blogger.com,//www.blogger.com/null,https://www.hominiscanidae.org/2013/02/tuca-curioso-2013.html,exact
2024 - Cleozinhu - Cle01,2024,6,"8,9,11,13,14,16",drive.google.com,https://drive.google.com/file/d/17fvyqOkygKzEtK0157bCNGbZ234oEDf0/view?usp=sharing,https://www.hominiscanidae.org/2024/10/cleozinhu-cle01-2024.html,exact
"2019 - DJ Buck, Nikito, Cab, CAB - Hominis Canidae #114 - Novembro",2019,6,"8,9,10,11,12,13",mediafire.com,http://www.mediafire.com/file/leqnhoq5c7qje45/DJ_Buck_-_Funnky_%25282019%2529.zip/file,https://www.hominiscanidae.org/2019/11/dj-buck-funnky-2019.html,exact
2022 - Ieti Lessa Gustavo - Radar de um Filme Sujo,2022,6,"4,7,8,9,10,11",mediafire.com,https://www.mediafire.com/file/na0uje4gi2evv60/Ieti%252C_Lessa_Gustavo_-_Radar_de_um_Filme_Sujo_%25282022%2529.rar/file,https://www.hominiscanidae.org/2022/04/ieti-lessa-gustavo-radar-de-um-filme.html,exact
2023 - Mundo Video - Hominis Canidae #154 - Março,2023,6,"7,8,10,12,14,16",mediafire.com,https://www.mediafire.com/file/b6wagh0xit03vdq/MUNDO_VIDEO_%25282023%2529.rar/file,https://www.hominiscanidae.org/2023/04/mundo-video-mundo-video-ep-2023.html,exact
2024 - Cigarras - Fumódromo,2024,6,"3,4,5,6,7,9",mediafire.com,https://www.mediafire.com/file/5j51wnmp4citpbv/%2528HOMINISCANIDAE.ORG%2529_Cigarras_-_Fum%25C3%25B3dromo_%25282024%2529.rar/file,https://www.hominiscanidae.org/2024/03/cigarras-fumodromo-2024.html,exact
2025 - Os Fugitivos - Hominis Canidae #184 - Setembro,2025,6,"8,9,10,12,13,14",mediafire.com,http://www.mediafire.com/file/4d11cjzxkmwcc31/Os+Fugitivos+-+Beiral+EP+%282019%29.zip,https://www.hominiscanidae.org/2019/02/os-fugitivos-beiral-ep-2019.html,exact
2014 - Ana Mo + Porquinho + TucA - Hominis Canidae #51 - Agosto,2014,6,"4,11,12,13,15,16",mega.co.nz,https://mega.co.nz/#!oJNlxTQC!gBrsjW7vxPyK5ampIgbY1Dv6kfBpVYGq8b5W3m-sMnY,https://www.hominiscanidae.org/2014/12/hominis-canidae-hitsbr-2014.html,exact
1964 - Genival Lacerda - O rei da munganga,1964,6,"5,6,7,9,10,11",mega.nz,https://mega.nz/file/2IdExJqZ#aOa62m73RckQAukrimbjS0GUYpNvLMyJVE_UY-K4cmQ,https://www.hominiscanidae.org/2021/01/genival-lacerda-o-rei-da-munganga-1964.html,exact
2016 - Régis Martins & Cia Fantasma - Hominis Canidae #73 - Junho,2016,6,"6,8,10,11,12,15",mega.nz,https://mega.nz/#!OY9hDY6Z!JNeMFajb1q1jcHI_L1G-Tb67h4N8Zmuk8ktaNd1SYpc,https://www.hominiscanidae.org/2016/06/regis-martins-cia-fantasma-ondas-curtas.html,exact
"2019 - Elza Soares, BaianaSystem, Virginia Rodrigues - Planeta Fome",2019,6,"4,6,7,8,9,10",mega.nz,https://mega.nz/#!FgUExYhT!1k84TTc-glbCsl6W6xdXCcL7Z-3fhtUvmnVovYaDnio,https://www.hominiscanidae.org/2019/09/elza-soares-planeta-fome-2019.html,exact
2021 - Saturnina - Hominis Canidae #137 - Outubro,2021,6,"8,10,11,12,13,14",mega.nz,https://mega.nz/file/9OYFyIrK#GFhbXeigvFL9nzrdICvThtRhhfj9jYrqoVYUu4d5oHA,https://www.hominiscanidae.org/2022/01/saturnina-melancolia-por-diversao-2021.html,exact
2022 - Dengue - Hominis Canidae #144 - Maio,2022,6,"9,10,11,12,13,14",mega.nz,https://mega.nz/file/f58RBJza#0JZndgTG09S1AdQIyxiSzHjbyublMRbPCu4ZWTiE1UY,https://www.hominiscanidae.org/2022/05/dengue-volta-de-soturno-ii-2021.html,exact
2022 - João Castellani - Hominis Canidae #150 - Novembro,2022,6,"7,8,9,11,12,14",mega.nz,https://mega.nz/file/oCgFyKpQ#yMqqRCZCozWLHKBJsUlqlakQxbBp6WqSPw0f1CTZ9hI,https://www.hominiscanidae.org/2022/02/joao-castellani-passagem-2022.html,exact
2022 - Marcio de Almeida Bueno - Ando Sumido,2022,6,"11,14,15,17,19,20",mega.nz,https://mega.nz/file/GktyHLjL#Vt9SmKnd_3WAwUUI3PH7UXxgGkQEAjWC1Mv6eLohiJI,https://www.hominiscanidae.org/2022/06/marcio-de-almeida-bueno-ando-sumido-2022.html,exact
2022 - Mulamba - Será Só aos Ares,2022,6,"4,5,6,7,8,9",mega.nz,https://mega.nz/file/W8tRnT4a#00ifVqzu_eSz4zEKwS2fUXhnj140O_o6PL73MyceUqE,https://www.hominiscanidae.org/2022/07/mulamba-sera-so-aos-ares-2022.html,exact
2023 - Marcelo D2 - IBORU,2023,6,"5,7,8,9,11,14",mega.nz,https://mega.nz/file/lGgSHT7K#QEH5o7g3ey7WIg6A74yeFvwS2rvrZbDpQHNT_j5GJNA,https://www.hominiscanidae.org/2023/06/marcelo-d2-iboru-2023.html,exact
2024 - personas non gratas - Hominis Canidae #169 - Junho,2024,6,"4,5,6,8,12,13",personasnongratas.bandcamp.com,https://personasnongratas.bandcamp.com/,https://www.hominiscanidae.org/2020/06/personas-non-gratas-personas-non-gratas.html,exact
2013 - G.R.E.P. Unidos do Faça Você Mesmo - Death Samba,2013,6,"3,5,6,7,11,12",taperec.bandcamp.com,http://taperec.bandcamp.com/album/death-friends,https://www.hominiscanidae.org/2013/12/tape-rec-death-friends-2013.html,exact
2013 - Letuce - E volto pra curtir,2013,5,"4,5,6,7,8",4shared.com,http://www.4shared.com/file/QzGgkdWR/Letuce_-_Couves.html,https://www.hominiscanidae.org/2010/12/letuce-couve.html,exact
2018 - Akminarrah - Batuquebrada,2018,5,"10,14,15,20,21",archive.org,https://archive.org/compress/AkminarrahBatuquebrada/formats=VBR%20MP3&file=/AkminarrahBatuquebrada.zip,https://www.hominiscanidae.org/2018/07/akminarrah-batuquebrada-2018.html,exact
2019 - Akminarrah - Batuquebrando,2019,5,"4,7,8,9,11",archive.org,https://archive.org/compress/NCP085AkminarrahBatuquebrando/formats=VBR%20MP3&file=/NCP085AkminarrahBatuquebrando.zip,https://www.hominiscanidae.org/2019/04/akminarrah-batuquebrando-2019.html,exact
2023 - DJ MixXxuruca Eric Marke - Transgênico (Volume 7),2023,5,"6,7,9,10,11",archive.org,"https://archive.org/compress/ncp-121-dj-mix-xxuruca-transgenico-volume-7/formats=VBR%20MP3,JPEG,RAR,ITEM%20TILE,ARCHIVE%20BITTORRENT,METADATA",https://www.hominiscanidae.org/2023/10/dj-mixxxuruca-transgenico-volume-7-2023.html,exact
"2024 - Alphayatch, Bernardo Pacheco - Hominis Canidae #171 - Agosto",2024,5,"10,12,13,14,15",archive.org,https://archive.org/compress/alphayatch-meets-bernardo-pacheco-corte-costura-2024/formats=VBR%20MP3&file=/alphayatch-meets-bernardo-pacheco-corte-costura-2024.zip,https://www.hominiscanidae.org/2024/11/alphayatch-meets-bernardo-pacheco-corte.html,exact
2024 - rés - Hominis Canidae #175 - Dezembro,2024,5,"6,7,9,12,13",archive.org,https://archive.org/compress/res-peba-2025/formats=VBR%20MP3&file=/res-peba-2025.zip,https://www.hominiscanidae.org/2025/03/res-peba-2025.html,exact
2015 - Floating Kid - Hominis Canidae #65 - Outubro,2015,5,"5,7,8,9,15",bandcamp.com,https://bandcamp.com/download?id=1289408529&ts=1443703549.3357933836&tsig=647ac4254d0ea2920f0c48d5a35a200e&type=album,https://www.hominiscanidae.org/2015/10/floating-kid-left-2015.html,exact
2016 - botas batidas - Hominis Canidae #76 - Setembro,2016,5,"10,11,12,14,16",bandcamp.com,https://bandcamp.com/download?id=2090338352&ts=1469449676.1564383001&tsig=25e465af6fbcc50a4e18a55c1c0a6ff3&type=album,https://www.hominiscanidae.org/2016/09/botas-batidas-nao-adentre-meia-noite.html,exact
2017 - Jonatas Onofre - Hominis Canidae #81 - Fevereiro,2017,5,"3,5,6,9,10",bandcamp.com,https://bandcamp.com/download?id=2808594035&ts=1485550721.3681042164&tsig=15ca175baee3c50d3bcd0d54d5738033&type=album,https://www.hominiscanidae.org/2017/02/jonatas-onofre-aparicion-2017.html,exact
2018 - Gabriel Ares - Hominis Canidae #98 - Julho,2018,5,"4,5,6,10,13",bandcamp.com,https://bandcamp.com/download?id=690752814&ts=1530405206.1457294460&tsig=e429b01d74a23aaa95c2b22c00a7c924&type=album,https://www.hominiscanidae.org/2018/07/gabriel-ares-vale-cancao-2018.html,exact
